"Ticker","Nome","Negócios","Última (R$)","Variação"
"CGRA4","Grazziotin","26.500","30,55","+1,83%"
"RCSL3","Recrusul","25.400","1,54","-1,28%"
"GGBR3","Gerdau","25.300","15,07","+1,28%"
"LOGN3","Log-In","24.400","26,01","+0,04%"
"TPIS3","Triunfo","24.400","4,05","-0,25%"
"WHRL4","Whirlpool","24.200","4,72","+1,51%"
"EQPA3","Equatorial Energia Pará","23.400","5,72","-2,05%"
"IGTI3","Iguatemi","22.500","2,80","-1,41%"
"IGTI3","Jereissati Participações","22.500","2,80","-1,41%"
"EALT4","Electro Aço Altona","21.000","11,35","-0,87%"
"CAMB3","Cambuci","19.700","9,68","-0,82%"
"GOAU3","Metalúrgica Gerdau","17.900","9,87","+2,07%"
"BALM4","Baumer","17.500","21,04","+1,06%"
"BMEB4","Banco Mercantil do Brasil","16.400","53,00","-0,84%"
"RAPT3","Randon","16.300","5,81","-2,68%"
"BEES3","Banestes","16.200","8,14","-1,09%"
"CEBR6","CEB","14.700","24,79","-0,04%"
"RDNI3","RNI","14.600","2,06","-8,44%"
"RPMG3","Refinaria de Manguinhos","13.900","2,45","-10,91%"
"PDTC3","Padtec","11.900","1,00","+1,01%"
"BRSR3","Banrisul","11.500","14,03","-0,36%"
"AGXY3","AgroGalaxy","11.400","5,77","+1,58%"
"CRPG5","Tronox Pigmentos","10.500","12,00","-3,69%"
"CTAX3","CTAX3","10.500","1,15","-5,74%"
"ALPA3","Alpargatas","10.300","9,43","+1,40%"
"ENGI4","Energisa","9.000","9,18","-1,29%"
"OSXB3","OSX Brasil","7.800","2,44","+5,63%"
"ALUP4","Alupar","7.700","10,01","-2,44%"
"CEBR3","CEB","7.600","22,95","+0,17%"
"CLSC4","Celesc","7.300","101,71","-0,17%"
"EMAE4","EMAE","7.200","34,02","-2,07%"
"LUXM4","Trevisa","6.900","3,37","+0,90%"
"AZEV11","Azevedo & Travassos","6.800","0,09","+12,50%"
"COCE5","Coelce","6.700","29,95","+3,28%"
"UNIP3","Unipar","6.300","61,70","+1,23%"
"FICT3","Fictor Alimentos","6.000","3,15","+0,64%"
"NGRD3","Neogrid","5.600","25,21","-1,48%"
"HAGA4","Haga","5.600","1,10","-2,65%"
"SNSY5","Sansuy","5.500","3,00","-7,12%"
"EPAR3","Embpar Participações","5.400","4,43","-0,45%"
